ChamadoID,Data_Abertura,Data_Fechamento,UsuarioID,TecnicoID,CategoriaID,Prioridade,Status,Descricao,Tempo_Resolucao_Horas,Dentro_SLA,Reaberto
102445,2025-01-01 07:00:00,,2,2,2,Baixa,Em Atendimento,Erro ao abrir aplicativo,5.4,Sim,Não
105044,2025-01-01 07:52:00,2025-01-01 08:10:00.000000000,206,1,4,Alta,Fechado,Wi-Fi instável,0.3,Sim,Não
109004,2025-01-01 08:41:00,2025-01-01 11:23:30.991443469,195,4,4,Baixa,Fechado,Wi-Fi instável,2.71,Sim,Não
101461,2025-01-01 09:12:00,2025-01-01 23:12:11.852745868,165,4,1,Alta,Fechado,Computador não liga,14.0,Sim,Não
103197,2025-01-01 09:28:00,,129,4,1,Média,Aberto,Troca de teclado,4.86,Sim,Não
109093,2025-01-01 10:25:00,,174,1,2,Baixa,Em Atendimento,Atualização necessária,13.43,Não,Não
107806,2025-01-01 11:10:00,2025-01-01 16:04:34.902982594,175,5,6,Baixa,Fechado,Outlook com erro,4.91,Sim,Não
101409,2025-01-01 12:29:00,2025-01-01 19:10:53.681041536,112,4,2,Média,Fechado,Atualização necessária,6.7,Sim,Sim
105209,2025-01-01 12:34:00,2025-01-01 18:45:20.393514092,163,3,3,Baixa,Fechado,Criação de usuário,6.19,Sim,Não
102287,2025-01-01 12:35:00,2025-01-01 14:12:03.395380188,131,2,3,Crítica,Fechado,Senha bloqueada,1.62,Sim,Não
100574,2025-01-01 12:47:00,2025-01-02 00:34:08.000551143,235,2,1,Média,Fechado,Monitor sem imagem,11.79,Sim,Não
106150,2025-01-01 13:10:00,2025-01-01 16:20:06.232867950,244,7,2,Alta,Fechado,Atualização necessária,3.17,Sim,Sim
104046,2025-01-01 13:52:00,,85,2,2,Crítica,Aberto,Erro ao abrir aplicativo,2.92,Sim,Não
100295,2025-01-01 13:59:00,2025-01-01 15:49:10.567206110,170,8,4,Baixa,Fechado,Rede lenta,1.84,Sim,Não
105472,2025-01-01 14:04:00,2025-01-01 15:46:26.318156958,143,6,5,Alta,Fechado,Fila de impressão travada,1.71,Sim,Não
106518,2025-01-01 14:23:00,2025-01-01 15:24:34.198871541,182,2,3,Alta,Fechado,Permissão de pasta,1.03,Sim,Não
100384,2025-01-01 14:55:00,2025-01-01 17:46:54.114500458,207,8,2,Média,Fechado,Erro ao abrir aplicativo,2.87,Sim,Não
